asset,address,amount
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x13eE642aC134e69e4cb9F279511895380d0d404d,4037271789895069184
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x169f4A6A80e2794Ac955b12000333F8F835bB043,56939177570519176
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xd0812bd5eDFb52830A32B773bA1a6715d0FF7590,450000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xF4130Ba14C14BdEdA491d271dd3b58585d058C70,150000000
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x09EA224099AEFd88543dE8bf4B0ebFDE262A560e,6995800
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5e1312B7ff835e2Df81fBda26067e873Dbb9f9cE,113986526792533120
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x02f8a8a0fF36cd0eB55F00120A50101441B598C8,113986526792533120
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc911fA29808479B3C862C7531EA1A4c34e3A4100,2678683379624528384
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x09EA224099AEFd88543dE8bf4B0ebFDE262A560e,6995800
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x83eCCb05386B2d10D05e1BaEa8aC89b5B7EA8290,56993263396266560
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3B525CAD1C9c27b5152d57dC65f8EaaA1d973168,853915868413462400
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB170A41F2523220A12F84f17A54bD31953D98027,170979790188799680
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x444441E930f1335CB1c50702E0DBdd3B6E1E70B3,114158726293037840
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0529265f3306AECa1f7Bb5fD5a8AEdfD539c7dB5,5100000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1d58A0DE6164E8Fe572ecAd8e577458217a4d10E,900000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x6dD2Def9fd6035E33a23636908B503807f686ec6,1500000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x89ab9dc912526c573D630D6342F46d0522d9BbD6,150000000
